file,AVG_LOG_LEN,CODE_CHURN,FCOC,LEVELD,LOC,LOGADD,LOGD,LOGDEL,LOG_CODE_OWNERSHIP,LOG_SPREAD,NUM_LOGS,TPC,post_defect_count,post_defects,pre_defect_count,pre_defects
src/java/org/apache/hadoop/dfs/DataNode.java,25.155844155844157,1518,0.06666666666666667,3.2048192771084336,2679,2.0,0.030981709593131766,4.4,0.25,0.7368421052631579,83,15,4,"['HADOOP-2814', 'HADOOP-2883', 'HADOOP-3007', 'HADOOP-3033']",13,"['HADOOP-1652', 'HADOOP-1707', 'HADOOP-1989', 'HADOOP-2012', 'HADOOP-2110', 'HADOOP-2185', 'HADOOP-2326', 'HADOOP-2404', 'HADOOP-2549', 'HADOOP-2645', 'HADOOP-2691', 'HADOOP-2713', 'HADOOP-2768']"
src/java/org/apache/hadoop/dfs/DataStorage.java,20.53846153846154,14,0.0,3.1538461538461537,478,0.0,0.027196652719665274,0.0,0.0,0.3333333333333333,13,1,0,[],1,['HADOOP-2012']
src/java/org/apache/hadoop/dfs/DatanodeDescriptor.java,0,29,0.0,0,357,0.0,0.0,0.0,0.0,0.0,0,2,0,[],2,"['HADOOP-2110', 'HADOOP-2576']"
src/java/org/apache/hadoop/dfs/DatanodeID.java,0,0,0,0,176,0,0.0,0,0,0.0,0,0,0,[],0,[]
src/java/org/apache/hadoop/dfs/DatanodeInfo.java,0,0,0,0,315,0,0.0,0,0,0.0,0,0,0,[],0,[]
src/java/org/apache/hadoop/dfs/DatanodeProtocol.java,0,19,0.0,0,149,0.0,0.0,0.0,0.0,0,0,2,0,[],2,"['HADOOP-2012', 'HADOOP-2110']"
src/java/org/apache/hadoop/dfs/DatanodeRegistration.java,0,0,0,0,107,0,0.0,0,0,0.0,0,0,0,[],0,[]
src/java/org/apache/hadoop/dfs/DfsPath.java,0,2,0.0,0,61,0.0,0.0,0.0,0.0,0.0,0,1,0,[],0,[]
src/java/org/apache/hadoop/dfs/DfsServlet.java,15,77,0.0,4,77,0.0,0.012987012987012988,1.0,1.0,1.0,1,1,0,[],1,['HADOOP-2652']
src/java/org/apache/hadoop/dfs/DisallowedDatanodeException.java,0,0,0,0,35,0,0.0,0,0,0,0,0,0,[],0,[]
src/java/org/apache/hadoop/dfs/DistributedFileSystem.java,47,88,0.0,4,362,0.0,0.011049723756906077,0.0,0.0,0.07692307692307693,4,7,5,"['HADOOP-2833', 'HADOOP-3003', 'HADOOP-3108', 'HADOOP-3128', 'HADOOP-3139']",6,"['HADOOP-1298', 'HADOOP-2129', 'HADOOP-2288', 'HADOOP-2336', 'HADOOP-2566', 'HADOOP-2567']"
src/java/org/apache/hadoop/dfs/FSConstants.java,0,11,0.0,0,189,0.0,0.0,0.0,0.0,0,0,4,1,['HADOOP-2780'],4,"['HADOOP-1298', 'HADOOP-1707', 'HADOOP-2012', 'HADOOP-2326']"
